id,user_article_id,tag,created_at,updated_at
51,291,ruby,"2013-11-01 08:49:15.141510","2013-11-01 08:49:15.141510"
52,292,"はてぶ","2013-11-02 05:48:53.283509","2013-11-02 05:48:53.283509"
53,294,"マーケティング","2013-11-02 05:49:50.264540","2013-11-02 05:49:50.264540"
54,295,"マーケティング","2013-11-02 05:50:31.950100","2013-11-02 05:50:31.950100"
55,296,MVC,"2013-11-02 05:55:31.869975","2013-11-02 05:55:31.869975"
56,297,"マーケティング","2013-11-02 06:25:39.347973","2013-11-02 06:25:39.347973"
57,300,Rails,"2013-11-02 12:27:42.449966","2013-11-02 12:27:42.449966"
58,301,"マーケティング","2013-11-02 16:34:10.591528","2013-11-02 16:34:10.591528"
59,302,MVC,"2013-11-02 23:09:13.145006","2013-11-02 23:09:13.145006"
60,271,ruby,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
61,271,Rails,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
62,271,Ruby,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
63,271,SQL,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
64,271,"１２３４５６７８９０","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
65,271,"１２３４５６７８９１","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
66,271,"１２３４５６７８９２","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
67,271,"１２３４５６７８９３","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
68,271,"１２３４５６７８９４","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
69,271,"１２３４５６７８９５","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
70,323,ge,"2013-11-04 09:32:20.651567","2013-11-04 09:32:20.651604"
74,331,Ruby,"2013-11-05 02:49:23.636633","2013-11-05 02:49:23.636694"
75,332,jvm,"2013-11-11 10:33:08.580139","2013-11-11 10:33:08.580192"
76,333,wordpress,"2013-11-11 10:33:38.295865","2013-11-11 10:33:38.295909"
77,334,heroku,"2013-11-11 10:33:55.859294","2013-11-11 10:33:55.859325"
